Format Version,1.21,Take Name,I2Rnew_1.5_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-02 03.47.50.941 PM,Total Frames in Take,130,Total Exported Frames,130,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:113,Unlabeled:113,Unlabeled:113,Unlabeled:117,Unlabeled:117,Unlabeled:117,Unlabeled:119,Unlabeled:119,Unlabeled:119
,,"8392B20CF49E357071","8392B20CF49E357071","8392B20CF49E357071","8392B20CF49E357075","8392B20CF49E357075","8392B20CF49E357075","8392B20CF49E357077","8392B20CF49E357077","8392B20CF49E357077"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.129162,0.023916,0.233024,0.105982,0.025016,0.138397,0.101403,0.023535,0.189442
1,0.008333,0.129160,0.023917,0.233019,0.105986,0.025021,0.138394,0.101406,0.023535,0.189436
2,0.016667,0.129161,0.023915,0.233019,0.105981,0.025017,0.138396,0.101408,0.023535,0.189437
3,0.025000,0.129161,0.023917,0.233017,0.105988,0.025020,0.138401,0.101410,0.023536,0.189436
4,0.033333,0.129159,0.023914,0.233018,0.105985,0.025018,0.138397,0.101412,0.023537,0.189434
5,0.041667,0.129159,0.023916,0.233023,0.105989,0.025022,0.138398,0.101411,0.023540,0.189434
6,0.050000,0.129157,0.023917,0.233019,0.105983,0.025018,0.138400,0.101413,0.023540,0.189436
7,0.058333,0.129155,0.023919,0.233024,0.105983,0.025017,0.138401,0.101412,0.023539,0.189437
8,0.066667,0.129156,0.023918,0.233023,0.105984,0.025014,0.138405,0.101411,0.023537,0.189437
9,0.075000,0.129151,0.023917,0.233022,0.105980,0.025018,0.138402,0.101413,0.023536,0.189435
10,0.083333,0.129150,0.023916,0.233022,0.105981,0.025017,0.138409,0.101412,0.023532,0.189436
11,0.091667,0.129147,0.023914,0.233023,0.105981,0.025018,0.138404,0.101412,0.023535,0.189436
12,0.100000,0.129150,0.023914,0.233022,0.105984,0.025024,0.138401,0.101417,0.023535,0.189436
13,0.108333,0.129148,0.023918,0.233022,0.105982,0.025023,0.138404,0.101417,0.023540,0.189435
14,0.116667,0.129149,0.023915,0.233024,0.105982,0.025019,0.138404,0.101419,0.023531,0.189433
15,0.125000,0.129145,0.023915,0.233022,0.105981,0.025022,0.138408,0.101421,0.023536,0.189433
16,0.133333,0.129141,0.023916,0.233023,0.105980,0.025022,0.138413,0.101421,0.023534,0.189433
17,0.141667,0.129143,0.023916,0.233021,0.105982,0.025019,0.138406,0.101420,0.023537,0.189437
18,0.150000,0.129143,0.023917,0.233024,0.105979,0.025014,0.138408,0.101423,0.023539,0.189434
19,0.158333,0.129140,0.023915,0.233022,0.105981,0.025020,0.138411,0.101421,0.023537,0.189435
20,0.166667,0.129140,0.023915,0.233025,0.105977,0.025016,0.138411,0.101422,0.023536,0.189434
21,0.175000,0.129137,0.023913,0.233023,0.105979,0.025017,0.138412,0.101423,0.023535,0.189436
22,0.183333,0.129136,0.023919,0.233026,0.105978,0.025019,0.138412,0.101425,0.023538,0.189431
23,0.191667,0.129134,0.023918,0.233026,0.105979,0.025017,0.138413,0.101424,0.023533,0.189435
24,0.200000,0.129134,0.023913,0.233023,0.105982,0.025017,0.138409,0.101429,0.023531,0.189429
25,0.208333,0.129130,0.023917,0.233020,0.105979,0.025021,0.138412,0.101431,0.023537,0.189428
26,0.216667,0.129133,0.023911,0.233021,0.105979,0.025013,0.138410,0.101431,0.023534,0.189428
27,0.225000,0.129132,0.023913,0.233020,0.105979,0.025010,0.138410,0.101428,0.023529,0.189429
28,0.233333,0.129130,0.023916,0.233021,0.105980,0.025022,0.138409,0.101433,0.023533,0.189427
29,0.241667,0.129128,0.023916,0.233024,0.105979,0.025013,0.138410,0.101434,0.023535,0.189429
30,0.250000,0.129128,0.023912,0.233025,0.105980,0.025017,0.138417,0.101434,0.023534,0.189428
31,0.258333,0.129125,0.023914,0.233027,0.105977,0.025014,0.138420,0.101434,0.023530,0.189433
32,0.266667,0.129121,0.023913,0.233029,0.105977,0.025018,0.138420,0.101433,0.023530,0.189435
33,0.275000,0.129122,0.023915,0.233030,0.105979,0.025017,0.138424,0.101438,0.023533,0.189434
34,0.283333,0.129120,0.023914,0.233026,0.105976,0.025017,0.138420,0.101438,0.023535,0.189430
35,0.291667,0.129118,0.023912,0.233025,0.105972,0.025011,0.138414,0.101437,0.023528,0.189431
36,0.300000,0.129118,0.023914,0.233025,0.105977,0.025017,0.138416,0.101438,0.023529,0.189427
37,0.308333,0.129120,0.023915,0.233023,0.105973,0.025009,0.138416,0.101440,0.023525,0.189420
38,0.316667,0.129116,0.023912,0.233024,0.105976,0.025009,0.138418,0.101442,0.023531,0.189427
39,0.325000,0.129114,0.023912,0.233024,0.105977,0.025013,0.138417,0.101446,0.023532,0.189428
40,0.333333,0.129114,0.023910,0.233025,0.105981,0.025015,0.138420,0.101444,0.023534,0.189426
41,0.341667,0.129115,0.023914,0.233028,0.105978,0.025015,0.138419,0.101448,0.023533,0.189424
42,0.350000,0.129113,0.023915,0.233027,0.105977,0.025014,0.138420,0.101448,0.023530,0.189426
43,0.358333,0.129115,0.023918,0.233029,0.105975,0.025017,0.138428,0.101452,0.023532,0.189428
44,0.366667,0.129112,0.023912,0.233030,0.105972,0.025010,0.138424,0.101450,0.023532,0.189427
45,0.375000,0.129111,0.023909,0.233026,0.105978,0.025014,0.138428,0.101448,0.023530,0.189424
46,0.383333,0.129109,0.023910,0.233021,0.105974,0.025007,0.138421,0.101451,0.023533,0.189425
47,0.391667,0.129110,0.023912,0.233025,0.105972,0.025013,0.138421,0.101451,0.023527,0.189423
48,0.400000,0.129106,0.023911,0.233025,0.105970,0.025011,0.138428,0.101449,0.023529,0.189423
49,0.408333,0.129103,0.023912,0.233029,0.105975,0.025016,0.138425,0.101449,0.023532,0.189423
50,0.416667,0.129101,0.023918,0.233026,0.105973,0.025016,0.138425,0.101452,0.023532,0.189420
51,0.425000,0.129103,0.023914,0.233027,0.105979,0.025021,0.138426,0.101452,0.023530,0.189424
52,0.433333,0.129103,0.023917,0.233030,0.105971,0.025016,0.138432,0.101455,0.023533,0.189425
53,0.441667,0.129101,0.023915,0.233031,0.105976,0.025010,0.138432,0.101456,0.023530,0.189427
54,0.450000,0.129099,0.023920,0.233031,0.105976,0.025011,0.138432,0.101460,0.023535,0.189427
55,0.458333,0.129101,0.023914,0.233033,0.105979,0.025016,0.138437,0.101463,0.023535,0.189424
56,0.466667,0.129099,0.023915,0.233025,0.105976,0.025011,0.138433,0.101461,0.023528,0.189425
57,0.475000,0.129096,0.023910,0.233025,0.105974,0.025015,0.138433,0.101464,0.023529,0.189424
58,0.483333,0.129092,0.023910,0.233024,0.105971,0.025011,0.138428,0.101462,0.023532,0.189419
59,0.491667,0.129092,0.023910,0.233025,0.105972,0.025012,0.138432,0.101464,0.023526,0.189418
60,0.500000,0.129092,0.023911,0.233024,0.105971,0.025008,0.138429,0.101465,0.023530,0.189416
61,0.508333,0.129093,0.023914,0.233023,0.105974,0.025013,0.138431,0.101465,0.023528,0.189419
62,0.516667,0.129087,0.023909,0.233024,0.105970,0.025011,0.138431,0.101467,0.023530,0.189418
63,0.525000,0.129090,0.023914,0.233028,0.105975,0.025015,0.138432,0.101470,0.023531,0.189419
64,0.533333,0.129086,0.023911,0.233029,0.105976,0.025013,0.138435,0.101469,0.023525,0.189421
65,0.541667,0.129088,0.023911,0.233028,0.105974,0.025008,0.138437,0.101474,0.023528,0.189421
66,0.550000,0.129086,0.023915,0.233031,0.105974,0.025012,0.138438,0.101472,0.023532,0.189420
67,0.558333,0.129085,0.023911,0.233032,0.105974,0.025010,0.138437,0.101475,0.023529,0.189419
68,0.566667,0.129082,0.023911,0.233030,0.105972,0.025015,0.138441,0.101472,0.023530,0.189421
69,0.575000,0.129082,0.023912,0.233030,0.105970,0.025009,0.138435,0.101474,0.023529,0.189417
70,0.583333,0.129079,0.023914,0.233026,0.105972,0.025012,0.138435,0.101475,0.023528,0.189415
71,0.591667,0.129080,0.023913,0.233028,0.105972,0.025011,0.138436,0.101474,0.023528,0.189416
72,0.600000,0.129079,0.023914,0.233028,0.105970,0.025010,0.138437,0.101476,0.023527,0.189418
73,0.608333,0.129077,0.023913,0.233025,0.105966,0.024999,0.138436,0.101477,0.023529,0.189418
74,0.616667,0.129075,0.023915,0.233030,0.105970,0.025011,0.138442,0.101478,0.023527,0.189420
75,0.625000,0.129073,0.023908,0.233031,0.105976,0.025011,0.138445,0.101481,0.023529,0.189421
76,0.633333,0.129076,0.023914,0.233033,0.105970,0.025006,0.138443,0.101479,0.023531,0.189419
77,0.641667,0.129075,0.023915,0.233031,0.105973,0.025011,0.138446,0.101482,0.023528,0.189416
78,0.650000,0.129073,0.023913,0.233031,0.105968,0.025006,0.138440,0.101483,0.023529,0.189416
79,0.658333,0.129070,0.023911,0.233025,0.105975,0.025007,0.138444,0.101485,0.023527,0.189417
80,0.666667,0.129071,0.023912,0.233026,0.105970,0.025009,0.138438,0.101485,0.023532,0.189412
81,0.675000,0.129069,0.023912,0.233027,0.105973,0.025008,0.138438,0.101483,0.023524,0.189413
82,0.683333,0.129066,0.023908,0.233026,0.105969,0.025010,0.138444,0.101485,0.023527,0.189415
83,0.691667,0.129065,0.023911,0.233029,0.105967,0.025009,0.138444,0.101488,0.023528,0.189411
84,0.700000,0.129064,0.023915,0.233032,0.105970,0.025009,0.138442,0.101488,0.023526,0.189412
85,0.708333,0.129067,0.023911,0.233031,0.105970,0.025009,0.138447,0.101487,0.023528,0.189414
86,0.716667,0.129061,0.023912,0.233029,0.105966,0.025004,0.138449,0.101489,0.023527,0.189414
87,0.725000,0.129059,0.023908,0.233033,0.105970,0.025007,0.138447,0.101494,0.023529,0.189419
88,0.733333,0.129060,0.023915,0.233032,0.105972,0.025008,0.138447,0.101494,0.023529,0.189416
89,0.741667,0.129060,0.023911,0.233033,0.105971,0.025009,0.138452,0.101492,0.023530,0.189419
90,0.750000,0.129059,0.023911,0.233034,0.105969,0.025009,0.138450,0.101496,0.023525,0.189415
91,0.758333,0.129059,0.023908,0.233032,0.105970,0.025005,0.138449,0.101498,0.023528,0.189413
92,0.766667,0.129057,0.023910,0.233032,0.105970,0.025007,0.138452,0.101498,0.023530,0.189411
93,0.775000,0.129055,0.023909,0.233030,0.105971,0.025009,0.138449,0.101499,0.023526,0.189413
94,0.783333,0.129052,0.023910,0.233031,0.105967,0.025008,0.138449,0.101495,0.023521,0.189412
95,0.791667,0.129053,0.023913,0.233034,0.105968,0.025008,0.138448,0.101498,0.023525,0.189414
96,0.800000,0.129052,0.023910,0.233031,0.105965,0.025011,0.138451,0.101498,0.023524,0.189412
97,0.808333,0.129048,0.023905,0.233032,0.105967,0.025002,0.138450,0.101500,0.023526,0.189412
98,0.816667,0.129048,0.023907,0.233031,0.105968,0.025010,0.138454,0.101500,0.023530,0.189408
99,0.825000,0.129046,0.023909,0.233033,0.105967,0.025011,0.138452,0.101502,0.023528,0.189409
100,0.833333,0.129050,0.023906,0.233034,0.105971,0.025007,0.138451,0.101504,0.023525,0.189408
101,0.841667,0.129053,0.023908,0.233028,0.105972,0.025005,0.138452,0.101504,0.023525,0.189409
102,0.850000,0.129045,0.023904,0.233031,0.105972,0.025007,0.138451,0.101508,0.023525,0.189409
103,0.858333,0.129043,0.023906,0.233025,0.105967,0.025006,0.138452,0.101509,0.023526,0.189408
104,0.866667,0.129043,0.023905,0.233030,0.105968,0.025004,0.138453,0.101507,0.023523,0.189406
105,0.875000,0.129039,0.023906,0.233033,0.105965,0.025006,0.138455,0.101506,0.023522,0.189406
106,0.883333,0.129039,0.023906,0.233031,0.105964,0.025007,0.138453,0.101507,0.023525,0.189406
107,0.891667,0.129034,0.023905,0.233032,0.105962,0.025012,0.138455,0.101505,0.023524,0.189406
108,0.900000,0.129033,0.023907,0.233032,0.105959,0.025000,0.138456,0.101506,0.023524,0.189407
109,0.908333,0.129036,0.023909,0.233033,0.105962,0.025008,0.138458,0.101509,0.023523,0.189408
110,0.916667,0.129033,0.023907,0.233033,0.105963,0.025003,0.138457,0.101510,0.023524,0.189411
111,0.925000,0.129032,0.023905,0.233035,0.105962,0.025006,0.138459,0.101515,0.023525,0.189408
112,0.933333,0.129033,0.023905,0.233033,0.105966,0.025006,0.138460,0.101517,0.023530,0.189408
113,0.941667,0.129030,0.023906,0.233031,0.105965,0.025006,0.138460,0.101513,0.023525,0.189406
114,0.950000,0.129031,0.023911,0.233035,0.105966,0.025005,0.138459,0.101519,0.023528,0.189405
115,0.958333,0.129029,0.023908,0.233031,0.105968,0.025008,0.138457,0.101520,0.023526,0.189402
116,0.966667,0.129028,0.023907,0.233029,0.105966,0.025006,0.138457,0.101522,0.023526,0.189402
117,0.975000,0.129026,0.023910,0.233028,0.105965,0.025001,0.138457,0.101523,0.023524,0.189404
118,0.983333,0.129025,0.023908,0.233029,0.105966,0.025007,0.138463,0.101522,0.023528,0.189404
119,0.991667,0.129024,0.023912,0.233034,0.105965,0.025012,0.138463,0.101525,0.023527,0.189402
120,1.000000,0.129021,0.023907,0.233034,0.105961,0.025008,0.138467,0.101523,0.023524,0.189406
121,1.008333,0.129019,0.023908,0.233035,0.105959,0.025002,0.138463,0.101520,0.023526,0.189405
122,1.016667,0.129018,0.023905,0.233036,0.105964,0.024999,0.138460,0.101522,0.023521,0.189406
123,1.025000,0.129018,0.023907,0.233036,0.105960,0.025005,0.138464,0.101525,0.023525,0.189404
124,1.033333,0.129017,0.023906,0.233037,0.105966,0.025004,0.138466,0.101527,0.023527,0.189404
125,1.041667,0.129015,0.023902,0.233029,0.105968,0.025004,0.138465,0.101529,0.023528,0.189403
126,1.050000,0.129017,0.023902,0.233034,0.105966,0.025006,0.138466,0.101531,0.023522,0.189401
127,1.058333,0.129013,0.023904,0.233033,0.105963,0.025003,0.138468,0.101530,0.023525,0.189404
128,1.066667,0.129015,0.023905,0.233037,0.105968,0.025009,0.138470,0.101530,0.023524,0.189403
129,1.075000,0.129009,0.023902,0.233035,0.105964,0.025007,0.138471,0.101530,0.023524,0.189403
