Pressure Sensor 1,Pressure Sensor 2,Pressure Sensor 3,Pressure Sensor 4
0.44,0.44,0.68,0.56
0.44,0.44,0.68,0.56
0.44,0.56,0.44,0.44
0.44,0.44,0.44,0.44
0.32,0.44,0.44,0.44
0.44,0.56,0.56,0.44
0.44,0.56,0.56,0.56
0.68,0.81,0.56,0.44
0.32,0.44,0.56,0.44
0.56,0.56,0.44,0.56
0.32,0.81,0.56,0.44
0.56,0.56,0.44,0.44
0.56,0.56,0.56,0.32
0.32,0.68,0.56,0.44
0.44,0.68,0.56,0.44
0.44,0.56,0.56,0.56
0.68,0.68,0.56,0.56
0.44,0.44,0.56,0.56
0.2,0.44,0.68,0.56
0.56,0.32,0.56,0.44
0.44,0.56,0.56,0.44
0.44,0.56,0.56,0.44
0.44,0.56,0.56,0.44
0.44,0.56,0.32,0.56
0.44,0.44,0.44,0.56
0.44,0.56,0.56,0.44
0.68,0.93,0.68,0.44
0.44,0.44,0.44,0.44
0.44,0.56,0.44,0.44
0.68,0.44,0.44,0.44
0.07,0.56,0.32,0.44
0.44,0.44,0.44,0.56
0.44,0.44,0.68,0.32
0.44,0.68,0.56,0.44
0.44,0.44,0.44,0.44
0.44,0.68,0.44,0.56
0.44,0.44,0.44,0.56
0.44,0.68,0.32,0.68
0.56,0.44,0.44,0.56
0.56,0.56,0.44,0.44
0.56,0.56,0.56,0.32
0.56,0.32,0.32,0.44
0.44,0.81,0.56,0.44
0.44,0.81,0.44,0.44
0.44,0.68,0.44,0.81
0.32,0.44,0.44,0.68
0.44,0.44,0.44,0.44
0.56,0.44,0.44,0.44
0.44,0.56,0.44,0.56
0.44,0.81,0.56,0.44
0.44,0.56,0.56,0.44
0.32,0.68,0.44,0.32
0.44,0.56,0.68,0.68
0.32,0.44,0.44,0.56
0.44,0.68,0.68,0.44
0.56,0.56,0.44,0.32
-0.05,0.93,0.44,0.68
0.56,0.56,0.56,0.44
0.32,0.56,0.32,0.44
0.44,0.81,0.07,0.44
0.44,0.44,0.44,0.44
0.44,0.56,0.56,0.44
0.56,0.68,0.68,0.56
0.44,0.56,0.32,0.44
0.68,0.56,0.56,0.44
0.56,0.56,0.44,0.56
0.32,0.44,0.56,0.56
0.68,0.68,0.44,1.29
0.68,0.56,0.56,0.32
0.68,0.44,0.44,0.68
0.44,0.44,0.68,0.56
0.32,0.2,0.44,0.56
0.56,0.44,0.44,0.44
0.44,0.81,0.32,0.44
0.68,0.44,0.44,0.56
0.44,0.56,0.44,0.44
0.44,0.32,0.56,0.56
0.44,0.68,0.56,0.44
-0.05,0.68,0.56,0.56
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.68
0.44,0.44,0.44,0.44
0.44,0.93,0.32,0.44
0.56,0.32,0.44,0.44
0.56,0.56,0.56,0.68
0.56,0.56,0.44,0.44
0.44,0.56,0.32,0.44
0.44,0.68,0.56,0.44
0.56,0.68,0.44,0.44
0.44,0.81,0.56,0.32
0.56,0.44,0.44,0.56
0.44,0.44,0.44,0.56
0.56,-0.05,0.68,0.56
0.81,0.32,0.32,0.32
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.68
0.44,0.56,0.44,0.56
0.56,0.44,0.44,0.44
0.56,0.56,0.56,0.44
0.56,0.81,0.56,0.44
0.56,0.56,0.32,0.56
0.44,0.81,0.44,0.44
0.44,0.56,0.44,0.56
0.44,0.56,0.56,0.68
0.56,0.44,0.32,0.44
0.44,0.68,0.56,0.44
0.44,0.68,0.44,0.56
0.2,0.68,0.44,0.44
0.32,0.32,0.56,0.56
0.44,0.44,0.44,0.44
0.56,0.44,0.56,0.44
0.56,0.44,0.44,0.56
0.44,0.68,0.56,0.44
0.44,0.44,0.56,0.56
0.44,0.44,0.68,0.32
0.56,0.56,0.32,-0.78
0.44,0.44,0.44,0.56
0.56,0.44,0.44,0.56
0.44,0.44,0.56,0.07
0.68,0.56,0.44,0.44
0.56,0.44,0.44,0.44
0.68,0.56,0.56,0.56
0.32,0.56,0.32,0.44
0.44,0.56,0.44,0.44
0.44,0.44,0.68,0.56
0.44,0.56,0.44,0.44
0.68,0.68,0.68,0.56
0.44,0.56,0.81,0.44
0.44,0.56,0.44,0.56
0.44,0.44,0.44,0.44
0.32,0.32,0.44,0.56
0.44,0.68,0.44,0.68
0.56,0.32,0.56,0.32
0.44,0.56,0.44,0.32
0.56,0.44,0.44,0.56
0.44,0.68,0.44,0.44
0.68,0.56,0.56,0.44
0.32,0.81,0.56,0.44
0.68,0.56,0.56,0.56
0.44,0.32,0.56,0.44
0.44,0.56,0.56,0.56
0.32,0.68,0.56,0.44
0.44,0.68,0.44,0.68
0.44,0.44,0.44,0.68
0.32,0.44,0.44,0.44
0.44,0.44,0.44,0.68
0.44,0.32,0.56,0.44
0.44,0.44,0.56,0.44
0.44,0.56,0.44,0.32
0.56,0.56,0.44,0.56
0.44,0.44,0.68,0.56
0.44,0.56,0.56,0.44
0.44,0.56,0.68,0.44
0.56,0.44,0.68,0.56
0.56,0.44,0.81,0.56
0.44,0.68,0.81,0.32
0.44,0.56,0.44,0.44
0.44,0.2,0.56,0.44
0.56,0.44,0.56,0.44
0.32,0.56,0.32,0.56
0.44,0.44,0.56,0.44
0.56,0.56,0.56,0.44
0.32,0.44,0.56,0.44
0.44,0.56,0.56,0.44
0.44,0.56,0.44,0.44
0.68,0.44,0.32,0.44
0.32,0.44,0.44,0.44
0.56,0.44,0.44,0.56
0.32,0.68,0.44,0.56
0.44,0.68,0.44,0.56
0.32,0.44,0.44,0.44
0.32,0.44,0.44,0.44
0.32,0.56,0.56,0.44
0.44,0.44,0.32,0.44
0.44,0.32,0.56,0.56
0.44,0.56,0.44,0.68
0.68,0.68,0.56,0.44
0.44,0.56,0.44,0.56
0.44,0.44,0.44,0.56
0.56,0.44,0.81,0.56
0.44,0.44,1.05,0.68
0.44,0.44,0.44,0.44
0.44,0.56,0.44,0.44
0.32,0.44,0.44,0.56
1.29,0.32,0.56,0.56
0.32,0.56,0.68,0.44
0.44,0.44,0.68,0.44
0.44,0.56,0.44,0.56
0.44,0.44,0.56,0.56
0.44,0.56,0.56,0.68
0.44,0.56,0.56,0.44
1.05,0.56,0.56,0.56
0.44,0.44,0.56,0.56
0.44,0.56,0.56,0.44
0.68,0.56,0.56,0.56
0.93,0.44,0.44,0.44
0.44,0.44,0.44,0.81
0.56,0.68,-0.29,0.56
0.44,0.32,0.56,0.2
0.32,0.44,0.44,0.44
0.56,0.44,0.44,0.44
0.44,0.44,0.56,0.44
-0.05,0.44,0.44,0.44
0.44,0.68,0.56,0.44
0.44,0.44,0.68,0.44
0.44,0.68,0.68,0.44
0.32,0.56,0.56,0.56
0.44,0.68,0.44,0.44
0.44,0.56,0.56,0.68
0.32,0.68,0.81,0.32
0.68,0.56,0.44,0.44
0.56,0.68,0.44,0.44
0.44,0.44,0.56,0.44
0.32,0.44,0.44,0.44
0.44,0.44,0.68,0.56
0.56,0.44,0.44,0.68
0.2,0.44,0.56,0.2
0.56,0.56,0.56,0.44
0.44,0.44,0.44,0.44
0.56,0.56,0.56,0.44
0.32,0.32,0.2,0.44
0.44,0.44,0.81,0.44
0.2,0.68,0.56,0.56
0.56,0.56,0.44,0.32
0.44,0.56,0.44,1.17
0.81,0.56,0.56,0.93
0.44,0.56,0.44,0.68
0.44,0.44,0.2,0.68
0.44,0.32,0.56,0.56
0.68,0.56,0.56,0.32
0.56,0.56,0.44,0.44
0.56,0.44,0.56,0.44
0.44,0.56,0.56,0.56
0.44,0.56,0.56,0.44
0.56,0.56,0.07,1.05
0.56,0.44,-0.29,-0.29
0.2,-0.66,-0.29,-0.17
0.81,0.07,-0.05,-0.29
0.56,0.07,0.07,0.44
0.07,0.07,0.2,0.32
-0.29,-0.66,-1.03,-0.17
0.56,1.17,1.42,0.44
0.07,0.2,-0.17,0.2
-0.42,-0.54,-1.03,2.27
-0.17,-1.03,-1.15,0.56
0.32,0.93,-0.54,1.29
-0.66,0.07,-0.78,1.42
0.2,0.2,0.32,2.03
-0.17,0.56,1.9,1.29
-0.05,-0.05,0.32,3.25
0.07,1.42,-0.9,2.39
0.07,0.2,-0.9,2.15
-0.05,-0.05,-0.05,1.05
0.68,-0.05,-0.42,1.9
-0.29,0.32,-0.42,1.78
-2.25,-1.27,-1.27,0.68
-0.17,0.56,0.2,2.03
0.32,-0.05,-1.03,0.68
-0.78,-0.66,-0.54,2.03
1.29,0.2,0.2,3.12
-0.05,-0.78,-0.42,1.42
0.44,0.2,0.07,3
-0.05,-1.15,-0.29,0.81
0.81,-0.17,-0.29,2.76
0.2,-1.15,-1.15,0.68
0.68,-0.29,0.2,2.39
-1.39,-1.03,-1.51,1.17
0.2,-0.29,-0.17,1.54
0.32,-0.42,-0.42,1.17
-0.17,1.17,0.68,2.51
-0.9,-0.54,-0.54,3.12
-0.29,-0.17,1.66,2.51
0.32,1.54,0.44,3.74
1.66,-0.17,-0.42,3
1.9,0.68,-0.17,1.54
-0.42,-0.05,-0.05,1.66
0.68,-0.05,-0.29,2.39
-0.54,-0.66,-0.9,0.07
1.05,-0.42,-0.29,1.78
-1.51,-1.15,-0.9,3.49
-0.05,-1.03,-0.78,1.9
-0.05,0.81,-0.05,2.15
-2,-0.78,-1.03,1.05
-0.29,1.17,0.56,2.03
-0.29,-1.03,-0.9,1.29
0.68,0.2,-0.78,2.39
-0.78,-1.03,-0.66,1.29
-0.42,-0.05,-0.29,2.51
-0.9,-0.66,-1.03,1.42
-0.17,1.05,-0.17,3
-0.05,0.2,0.07,1.78
-1.15,0.2,0.32,1.54
0.2,0.68,0.32,1.78
-0.9,1.29,-0.54,1.54
0.07,-0.05,-0.05,1.9
-0.54,-0.9,-1.39,0.68
-0.17,-0.17,-0.29,2.76
-0.78,-0.9,-1.27,2.39
-0.29,0.07,-0.17,2.03
0.68,0.32,-0.66,1.78
0.44,-0.17,-0.42,3.37
-0.05,0.44,0.56,2.88
-1.27,0.32,0.07,1.42
0.07,0.68,0.44,2.76
-0.9,-0.17,-0.42,1.78
-0.42,1.42,0.68,2.64
-0.29,1.05,-0.54,1.29
-0.54,-0.42,-0.17,1.78
0.44,0.56,1.05,1.42
-0.05,0.44,1.66,2.03
-1.03,0.93,-1.15,1.66
0.2,0.68,-0.54,2.88
-0.17,0.32,1.17,2.51
-0.78,-0.78,-0.54,1.66
1.42,0.07,0.81,2.15
-1.03,-0.29,-1.15,0.32
0.07,-0.05,-0.17,1.9
-0.9,-0.78,-1.39,0.44
-1.15,0.07,-1.03,1.42
0.81,0.07,-0.17,2.03
-1.27,0.68,-0.54,2.51
0.44,0.2,0.68,3.49
0.44,-1.03,-0.54,1.66
0.07,-0.78,-0.66,1.78
0.56,1.17,1.29,2.39
-1.39,-1.64,-0.05,0.44
0.44,-0.05,0.44,1.66
-1.03,-0.42,-0.9,0.68
-0.9,-0.54,-0.9,0.56
0.56,0.93,-0.05,2.03
-0.42,-0.29,0.93,2.39
-0.66,-0.78,-0.9,2.76
0.93,-0.29,-0.05,1.9
-0.29,-0.9,-1.03,1.66
-0.54,-0.29,0.07,3.49
-0.05,0.32,-0.05,3.61
-0.66,-1.15,-1.15,0.2
-0.78,-0.42,-0.54,0.93
-0.78,0.07,-0.17,1.78
-0.17,-0.42,-0.78,1.42
-1.03,-0.9,-1.64,2.64
-0.17,0.32,0.44,2.03
0.56,0.07,-0.42,2.15
-0.66,0.81,-1.15,1.05
-1.03,-0.78,-0.29,1.9
1.42,-0.17,0.32,2.76
-1.51,-1.03,-1.51,0.44
0.32,-0.17,-0.29,2.27
-0.29,-0.42,-0.42,1.54
-1.88,-1.15,-1.51,1.78
0.07,-0.66,0.68,2.64
-0.9,-1.03,-1.03,2.64
-1.39,-0.66,-1.15,1.05
0.2,0.56,0.93,2.15
-1.64,-0.42,-0.42,4.35
0.68,0.44,0.56,1.78
0.56,-0.05,0.32,2.51
-1.03,0.93,0.07,1.66
-0.66,-0.17,0.07,2.15
0.68,1.17,-0.17,1.78
-0.42,-0.78,0.68,2.64
1.05,-1.03,-1.27,3.74
-1.15,-0.66,0.56,1.9
-0.05,-0.42,-0.05,2.03
1.66,0.07,-0.17,2.15
-0.54,-0.05,1.17,1.9
-0.9,-1.27,0.68,2.15
-1.03,-0.9,-0.66,1.78
0.07,-0.17,-0.17,1.78
0.56,1.78,-0.42,1.54
-1.03,-1.15,-1.51,1.29
-1.64,1.05,-1.76,2.64
0.07,0.07,0.56,3
-1.15,-1.15,-1.27,1.17
-0.42,-1.03,-1.39,0.93
0.07,-0.17,0.44,2.39
-0.78,-0.05,-0.54,1.54
-0.78,1.17,-0.66,1.05
0.32,0.32,1.05,1.9
0.32,-0.42,-0.42,1.42
0.2,-0.05,0.93,1.29
0.68,0.2,-0.29,2.76
-0.66,-0.66,-0.17,3.49
-1.03,0.56,-1.27,1.42
0.07,0.32,1.66,2.03
-1.76,-1.27,-1.51,0.07
-0.54,-0.54,0.44,2.51
0.44,1.17,-0.42,1.29
-1.27,-1.39,-0.17,0.2
0.81,-0.17,-0.05,1.66
0.07,0.07,1.05,3
-1.51,-1.15,-1.64,1.29
-0.54,-0.66,0.68,2.27
-0.54,-0.17,0.2,3.74
0.93,-0.29,-0.29,2.03
-0.66,-0.66,-0.78,1.42
-0.78,0.32,-0.42,1.29
0.32,1.54,-0.42,2.27
0.07,-0.66,-0.54,0.93
-0.9,-1.39,-1.15,0.07
-1.15,-0.9,-0.29,2.64
0.68,2.15,-0.29,2.76
-0.54,-0.42,-0.9,2.39
0.2,-1.03,-0.78,1.29
-1.27,-0.78,-1.03,1.29
0.32,0.93,-0.05,2.88
-0.05,0.07,-0.42,2.88
-1.27,-0.78,0.68,2.03
-0.17,0.93,-0.9,2.88
-0.29,-0.05,0.68,2.15
0.56,0.44,-0.29,2.27
0.81,-0.29,-0.17,2.27
-0.78,-1.39,-0.9,1.17
1.54,-0.66,-0.66,1.42
1.05,0.07,0.2,2.88
0.32,1.17,0.44,2.51
0.32,0.68,-0.17,1.42
-0.78,-0.9,0.81,1.9
0.81,1.9,-0.29,2.27
0.44,1.78,0.07,1.54
-0.9,-0.54,-0.9,2.51
-0.9,-0.66,-0.05,1.9
-0.78,1.05,2.51,2.15
-0.05,0.32,0.56,4.83
0.32,0.32,-0.05,2.39
-0.9,-1.39,-1.03,0.56
-0.29,-0.29,-1.03,0.93
0.2,-0.29,0.2,2.15
-0.42,-0.05,0.2,1.9
-1.27,-1.15,-1.39,0.2
-1.27,-0.66,0.2,2.03
-0.17,0.07,-0.17,3
-0.78,-1.27,1.29,1.17
-0.42,-0.54,1.05,2.88
-0.17,0.2,0.68,3.25
-0.29,-1.15,-1.15,0.68
0.2,0.07,0.44,3
-1.15,-0.66,-1.39,0.93
-0.78,1.42,0.32,2.15
0.68,0.07,0.2,1.78
0.07,-0.42,1.05,0.81
-1.03,-1.27,0.2,1.54
-0.17,-0.29,-0.05,2.51
-1.15,-0.78,-0.54,4.1
1.05,0.93,0.07,1.9
-0.29,-1.03,-1.15,3.12
-0.05,-0.17,-1.03,1.78
-0.05,0.93,0.68,2.27
-0.17,-1.39,-1.03,1.9
-1.27,-1.27,-1.03,1.17
0.56,-0.17,0.44,1.9
-1.15,0.44,-1.39,1.29
-0.29,-0.05,-0.29,3
-0.42,0.2,0.2,2.03
-1.51,-1.03,0.93,0.93
-0.17,0.81,0.56,2.64
-0.9,-0.78,-0.17,1.17
-0.9,-0.54,1.05,1.66
0.56,0.2,-0.17,2.03
-1.15,-1.39,-1.39,0.07
-1.51,-1.51,-2.12,0.81
-0.42,0.56,0.68,2.88
-0.42,-0.17,-0.29,4.47
-1.39,-1.03,-1.15,1.29
-0.29,0.2,-0.17,3.61
-1.39,0.07,-0.66,3
-0.66,-1.03,1.05,2.27
-0.29,1.66,0.56,2.76
0.07,-1.03,-0.05,0.56
-0.54,-1.03,-0.42,2.51
0.93,-0.42,0.56,1.66
-0.29,-1.27,-0.9,0.56
-0.54,-0.78,-0.66,2.51
0.07,0.44,1.17,2.27
-0.78,0.2,0.68,1.66
-0.9,-0.78,-0.66,1.54
0.56,0.56,0.68,2.15
-0.78,-0.9,-0.42,1.17
-0.17,-0.29,-0.29,2.03
0.44,-0.05,-0.54,1.05
-0.17,-1.39,-0.54,0.68
1.66,0.56,-0.17,1.54
0.2,0.56,0.07,3.12
-1.51,0.81,-1.39,1.66
-1.51,-0.54,-0.78,1.66
0.81,1.17,-0.17,1.66
-0.78,-0.29,-0.05,3.25
-0.9,-0.78,-1.15,1.42
-0.05,-0.17,0.81,2.51
-0.66,-1.03,-0.78,0.44
-1.27,-1.15,-1.27,0.68
-0.17,-0.42,-0.05,1.9
0.07,0.81,-0.05,2.88
0.2,2.03,0.07,2.39
-0.78,-1.03,-1.27,1.42
0.68,-0.54,0.32,1.78
0.2,1.29,0.81,2.03
-1.15,-0.42,0.56,0.81
-1.03,-0.9,-0.78,1.42
0.32,0.2,0.2,1.78
0.07,0.07,-1.27,2.64
0.2,0.07,-0.42,1.42
-0.05,-0.17,0.2,4.47
-1.27,-0.66,-1.64,1.17
-0.42,0.93,1.05,3.25
-1.15,-1.15,-1.27,0.93
-0.17,-0.17,1.9,1.29
-0.17,0.44,0.93,1.78
-1.03,-0.66,-0.66,1.66
-0.17,-0.78,-0.17,1.66
0.07,1.78,0.93,1.66
-0.66,-0.9,-0.29,1.66
-0.78,-0.42,-0.42,3.12
-0.17,0.32,1.05,1.29
1.17,0.2,-0.66,1.54
-0.9,-0.66,-0.54,2.27
0.2,0.32,0.93,1.9
-1.03,-0.54,-1.03,2.39
-0.66,-0.54,-0.54,2.88
-0.17,-0.05,0.56,2.15
0.32,1.42,0.81,1.78
0.07,-0.17,0.44,2.15
0.56,0.2,0.44,1.66
-1.27,-0.42,1.66,2.15
-0.29,0.44,0.07,1.78
0.44,-0.29,-0.05,2.39
0.81,0.07,0.32,2.39
-0.05,0.68,-0.66,1.9
-0.17,-1.39,-1.15,2.15
-0.78,-0.9,-0.78,1.42
0.2,-0.17,0.2,1.9
-0.29,-0.66,-1.15,0.32
-0.66,-0.17,-0.05,1.42
-0.78,-0.29,-0.9,2.76
0.32,0.32,-0.78,2.51
-1.39,-1.51,-1.27,0.2
-0.05,-0.54,0.93,2.51
-0.54,0.2,-0.78,1.29
-0.78,-1.27,-1.03,0.68
0.56,-0.05,-0.29,1.42
-0.17,1.42,0.56,1.17
0.93,-0.66,1.29,0.07
-1.39,-1.39,-1.39,0.56
-1.51,-0.42,-1.15,1.9
-0.17,0.44,0.44,3.74
0.07,0.2,-0.17,2.39
0.2,-1.27,-0.9,1.17
-0.54,-0.42,-0.66,2.15
0.07,0.07,-0.17,1.78
0.56,0.93,0.44,2.51
-0.42,-0.9,-0.66,0.56
-1.03,0.07,-0.29,2.15
-1.27,0.32,-0.54,2.15
0.07,0.2,-0.29,2.76
1.54,-1.51,-1.15,2.76
-1.27,0.32,0.2,2.51
-0.29,-0.17,-0.17,3.74
1.05,0.07,0.32,2.64
-0.66,-0.42,-0.54,3.12
-1.76,-0.05,-1.15,1.05
0.68,-0.17,-0.05,2.27
0.07,0.32,1.05,1.05
-1.27,1.05,-0.66,3.12
1.05,1.29,-0.05,2.76
-0.42,-0.05,0.07,3.12
-0.66,-1.39,0.07,1.54
-0.54,0.07,0.93,1.9
1.05,1.42,0.2,1.54
-0.78,-1.51,-1.15,0.56
-0.54,-0.54,-0.17,1.54
0.81,0.68,-0.17,1.54
-0.66,0.44,-0.05,1.29
-0.78,-1.15,-0.17,2.88
1.9,-0.66,-0.17,3.37
-0.17,0.07,0.2,3.98
0.2,-0.17,0.07,3.25
-1.39,-1.39,-1.88,0.44
-0.78,-0.66,-0.66,2.15
0.44,0.68,1.05,1.9
-0.42,-0.42,0.81,1.9
-1.15,-1.27,-0.29,1.66
-0.66,-0.29,0.07,1.42
0.56,0.56,0.68,1.29
-1.27,-1.51,0.32,1.42
1.05,0.2,-0.42,2.51
0.56,1.9,0.07,2.39
-0.66,-0.78,-1.15,2.39
-0.78,-0.42,-1.03,0.93
0.81,-0.05,-0.29,2.03
-0.66,0.2,0.56,1.29
-1.27,-0.9,-1.39,0.81
-0.78,-1.15,-1.03,0.44
0.56,1.29,-0.42,1.54
0.07,-0.29,1.05,2.76
-0.17,0.81,-0.54,1.9
-1.27,-0.78,-1.39,2.39
-0.54,1.05,0.32,1.54
0.07,-1.03,0.32,1.9
-0.42,-0.17,0.44,2.39
-0.29,-0.29,-0.42,1.78
-1.64,0.07,-0.66,1.17
-0.54,0.56,-0.42,1.78
-0.05,-0.17,-0.05,1.9
-0.29,0.07,0.68,3.12
-0.29,0.2,-1.03,1.9
-1.39,-0.78,-1.03,1.54
-1.03,-0.66,2.03,1.78
-0.54,-0.42,-0.29,1.29
-0.05,-0.42,0.07,2.03
0.07,0.07,-0.78,0.81
-0.42,1.29,-0.54,2.39
-0.17,0.93,-0.29,1.42
0.93,-0.42,1.17,1.42
1.42,1.42,0.32,1.9
-0.29,0.68,0.44,2.03
-1.15,-1.39,-0.9,1.17
-0.78,-0.9,-1.03,1.66
0.32,-0.05,0.07,2.76
-0.66,-0.66,-0.9,1.42
-0.78,0.93,0.2,1.66
-0.29,-0.17,-0.9,0.44
-0.78,-0.42,-0.05,1.05
0.32,-0.17,-0.54,0.93
-0.29,0.32,-0.42,3.25
0.07,-0.29,0.81,3.74
-0.29,0.07,0.44,3.37
-0.05,0.44,0.93,3.61
0.68,0.07,0.2,3.12
-0.54,0.07,-0.17,1.29
-0.17,0.07,1.05,1.17
-1.39,-1.64,-1.39,0.44
0.2,-0.54,-0.78,0.93
0.44,1.29,0.07,1.29
-0.05,-0.17,0.81,2.03
-0.17,0.2,0.2,3.12
-0.66,-1.39,-0.9,2.76
-0.66,-0.9,-0.17,2.88
0.07,-0.29,-0.9,2.03
-0.42,0.44,-0.29,2.03
0.2,0.56,-0.05,2.15
0.2,-0.17,-0.29,1.66
1.29,-1.27,-1.03,0.56
-0.9,-0.54,-0.42,1.78
-0.17,0.2,0.32,2.15
0.07,0.2,-0.17,2.15
-0.29,-0.9,-1.03,2.03
0.2,-0.17,0.56,3
-0.17,0.07,0.07,2.88
-0.9,0.68,0.68,1.54
-0.29,0.68,-0.17,2.03
0.68,-0.29,-0.05,2.27
-0.9,-1.15,-0.29,3.12
2.76,-0.78,-0.42,2.76
0.2,0.07,0.56,1.9
-0.17,-0.66,-0.54,1.9
-1.27,-1.39,-1.39,1.42
-0.29,-0.17,0.07,3
-0.9,0.07,-0.78,1.17
-1.03,0.32,-0.29,1.78
0.93,-0.05,0.07,2.03
-1.03,-0.78,1.17,0.93
-1.76,-1.27,-0.54,2.64
0.44,0.44,-0.17,1.17
0.32,-0.17,-0.54,1.17
-1.27,-1.39,-1.39,0.44
-0.29,-0.05,-0.66,3
-0.78,-0.29,-0.78,2.15
-0.9,-0.78,-0.9,1.66
-0.42,0.07,0.2,1.9
-0.05,0.32,0.56,1.78
-0.42,0.32,-1.27,0.68
0.2,0.56,1.05,1.42
0.44,0.44,1.66,1.66
-0.9,-0.42,0.2,1.66
0.07,-1.03,-0.66,0.81
-0.29,-0.42,0.2,2.39
-0.05,0.2,1.54,4.22
0.81,-0.54,-0.66,1.17
-1.03,0.68,-0.54,3.37
0.07,0.44,1.05,1.66
0.68,-0.42,-0.78,1.05
-0.9,-0.78,-0.29,1.17
0.56,-0.29,-0.42,1.66
-0.29,0.93,0.2,2.51
-0.9,-0.9,-1.51,0.68
-0.54,-0.66,-0.17,2.88
0.32,-0.05,-0.05,2.76
1.29,-0.42,-0.42,1.66
-0.42,1.29,-0.42,1.54
0.07,0.07,2.27,3.49
0.56,0.32,-0.05,1.42
0.07,-0.05,-0.9,0.81
0.32,-0.29,-0.17,1.9
-0.42,-0.05,0.32,1.78
0.07,-0.05,0.2,2.27
0.32,-1.03,1.42,1.9
-1.03,-1.03,-1.03,2.64
